,Court,Surface,Round,PlayerA,PlayerA_Pts,PA_B365,PA_EX,PA_LB,PA_PS,PA_MaxBet,PA_AvgBet,PlayerB,PlayerB_Pts,PB_B365,PB_EX,PB_LB,PB_PS,PB_MaxBet,PB_AvgBet,Rank_Diff,Pt_Diff
11308,1,1,5,14.0,2175.0,4.5,3.75,4.33,4.35,4.5,4.23,2.0,7965.0,1.16,1.25,1.2,1.27,1.27,1.22,12.0,-5790.0
11309,1,1,1,526.0,64.0,4.5,5.0,4.33,4.5,5.0,4.58,60.0,789.0,1.2,1.16,1.2,1.25,1.25,1.2,466.0,-725.0
11310,0,1,1,323.0,148.0,4.5,3.75,4.5,4.74,4.74,4.37,144.0,413.0,1.18,1.2,1.2,1.22,1.22,1.2,179.0,-265.0
11311,0,1,2,138.0,380.0,4.5,4.4,4.0,4.6,4.6,4.38,20.0,1770.0,1.16,1.19,1.222,1.246,1.25,1.2,118.0,-1390.0
11312,1,2,2,110.0,541.0,4.5,5.0,4.33,5.68,5.68,4.88,19.0,1735.0,1.18,1.16,1.2,1.18,1.2,1.18,91.0,-1194.0
11313,1,1,2,31.0,1340.0,4.5,4.25,4.5,5.0,5.0,4.56,5.0,4730.0,1.18,1.15,1.2,1.21,1.21,1.19,26.0,-3390.0
11314,1,2,1,59.0,844.0,4.5,4.0,4.0,3.9,4.5,4.1,25.0,1405.0,1.16,1.22,1.22,1.29,1.29,1.22,34.0,-561.0
11315,1,1,3,38.0,1035.0,4.5,4.25,4.5,5.61,5.61,4.72,2.0,8610.0,1.18,1.18,1.2,1.19,1.2,1.19,36.0,-7575.0
11316,1,1,2,142.0,418.0,4.5,4.0,4.0,5.23,5.23,4.43,17.0,1755.0,1.18,1.22,1.22,1.2,1.22,1.21,125.0,-1337.0
11317,1,1,1,219.0,227.0,4.5,4.3,4.33,4.8,4.8,4.48,72.0,685.0,1.18,1.2,1.2,1.22,1.22,1.2,147.0,-458.0
11318,1,2,1,78.0,676.0,4.5,4.0,4.33,4.55,4.55,4.35,45.0,940.0,1.18,1.22,1.2,1.24,1.24,1.21,33.0,-264.0
11319,0,1,2,133.0,458.0,4.5,4.0,4.5,5.16,5.16,4.54,15.0,2235.0,1.18,1.2,1.2,1.2,1.2,1.2,118.0,-1777.0
11320,0,1,1,60.0,745.0,4.5,4.25,4.33,4.55,4.55,4.41,8.0,3375.0,1.16,1.2,1.2,1.25,1.25,1.2,52.0,-2630.0
11321,1,2,2,88.0,606.0,4.5,4.0,4.33,5.57,5.57,4.6,22.0,1770.0,1.16,1.2,1.2,1.19,1.2,1.19,66.0,-1164.0
